heat#, car1#, pos, time, car2#, pos, time, car3#, pos, time, car4#, pos, time, timestamp
1, 1, -, -,2, -, -,3, -, -,4, -, -,-
2, 5, -, -,6, -, -,7, -, -,8, -, -,-
3, 9, -, -,10, -, -,11, -, -,12, -, -,-
4, 13, -, -,14, -, -,15, -, -,16, -, -,-
5, 17, -, -,18, -, -,19, -, -,20, -, -,-
6, 21, -, -,22, -, -,23, -, -,24, -, -,-
7, 25, -, -,26, -, -,27, -, -,28, -, -,-
8, 29, -, -,30, -, -,31, -, -,32, -, -,-
9, 33, -, -,34, -, -,35, -, -,36, -, -,-
10, 37, -, -,38, -, -,39, -, -,40, -, -,-
11, 6, -, -,1, -, -,16, -, -,11, -, -,-
12, 26, -, -,21, -, -,36, -, -,31, -, -,-
13, 2, -, -,7, -, -,12, -, -,17, -, -,-
14, 22, -, -,27, -, -,32, -, -,37, -, -,-
15, 3, -, -,8, -, -,13, -, -,18, -, -,-
16, 23, -, -,28, -, -,33, -, -,38, -, -,-
17, 4, -, -,9, -, -,14, -, -,19, -, -,-
18, 24, -, -,29, -, -,34, -, -,39, -, -,-
19, 10, -, -,5, -, -,20, -, -,15, -, -,-
20, 30, -, -,25, -, -,40, -, -,35, -, -,-
21, 27, -, -,37, -, -,2, -, -,34, -, -,-
22, 12, -, -,31, -, -,9, -, -,1, -, -,-
23, 18, -, -,3, -, -,24, -, -,25, -, -,-
24, 20, -, -,40, -, -,22, -, -,14, -, -,-
25, 16, -, -,13, -, -,21, -, -,10, -, -,-
26, 28, -, -,15, -, -,5, -, -,29, -, -,-
27, 19, -, -,17, -, -,38, -, -,23, -, -,-
28, 36, -, -,39, -, -,8, -, -,7, -, -,-
29, 35, -, -,33, -, -,6, -, -,30, -, -,-
30, 11, -, -,4, -, -,26, -, -,2, -, -,-
31, 32, -, -,36, -, -,37, -, -,22, -, -,-
32, 15, -, -,19, -, -,28, -, -,26, -, -,-
33, 8, -, -,23, -, -,1, -, -,21, -, -,-
34, 40, -, -,32, -, -,4, -, -,33, -, -,-
35, 31, -, -,20, -, -,30, -, -,3, -, -,-
36, 14, -, -,11, -, -,17, -, -,9, -, -,-
37, 7, -, -,12, -, -,18, -, -,6, -, -,-
38, 38, -, -,16, -, -,25, -, -,5, -, -,-
39, 34, -, -,24, -, -,29, -, -,13, -, -,-
40, 39, -, -,35, -, -,10, -, -,27, -, -,-
