heat#, car1#, pos, time, car2#, pos, time, car3#, pos, time, car4#, pos, time, timestamp
1, 2, 1, 3.174,3, 3, 3.503,4, 4, 3.735,6, 2, 3.206,14:38:04
2, 7, 2, 3.486,8, 4, 3.651,9, 1, 3.352,36, 2, 3.486,14:39:08
3, 37, 2, 3.250,39, 4, 3.691,6, 1, 3.200,9, 3, 3.316,14:40:01
4, 39, 4, 3.629,2, 1, 3.191,3, 2, 3.405,7, 3, 3.517,14:40:55
5, 36, 2, 3.526,4, 4, 3.710,37, 1, 3.285,8, 3, 3.571,14:42:13
6, 9, 2, 3.369,37, 1, 3.302,7, 3, 3.533,4, 4, 3.766,14:43:02
7, 8, 2, 3.465,36, 3, 3.539,2, 1, 3.187,39, 4, 3.677,14:44:39
8, 6, 1, 3.208,7, 3, 3.478,8, 4, 3.707,3, 2, 3.374,14:45:36
9, 4, 3, 3.682,9, 2, 3.344,39, 4, 3.683,2, 1, 3.169,14:46:47
10, 3, 3, 3.494,6, 1, 3.240,36, 4, 3.518,37, 2, 3.273,14:47:58
1, 10, 1, 3.346,11, 2, 3.409,0, 3, 9.999,0, 3, 9.999,15:06:06
2, 11, 2, 3.355,10, 1, 3.331,0, 3, 9.999,0, 3, 9.999,15:07:00
3, 0, 3, 9.999,0, 3, 9.999,11, 2, 3.438,10, 1, 3.355,15:07:46
4, 0, 3, 9.999,0, 3, 9.999,10, 1, 3.360,11, 2, 3.387,15:08:38
1, 15, 4, 9.999,16, 1, 3.184,17, 2, 4.056,19, 3, 4.531,15:42:53
2, 20, 3, 9.999,38, 2, 3.607,16, 1, 3.156,15, 3, 9.999,15:44:37
3, 17, 3, 4.556,19, 2, 4.378,20, 4, 9.999,38, 1, 3.276,15:45:55
4, 16, 1, 3.172,17, 4, 9.999,15, 2, 3.632,20, 3, 4.048,15:47:33
5, 19, 4, 4.454,15, 3, 3.590,38, 1, 3.265,17, 2, 3.580,15:48:56
6, 38, 2, 3.316,20, 4, 4.551,19, 3, 4.477,16, 1, 3.185,15:50:06
1, 21, 1, 3.391,22, 2, 3.411,25, 4, 4.475,27, 3, 3.809,16:15:39
2, 28, 1, 3.266,25, 4, 4.353,27, 3, 3.871,21, 2, 3.395,16:16:46
3, 22, 2, 3.419,28, 1, 3.314,21, 3, 3.428,25, 4, 4.154,16:17:38
4, 27, 4, 3.807,21, 3, 3.431,22, 2, 3.342,28, 1, 3.313,16:18:41
5, 25, 4, 4.290,27, 3, 3.774,28, 1, 3.316,22, 2, 3.337,16:19:53
1, 30, 3, 3.326,31, 2, 3.303,32, 4, 3.889,34, 1, 3.197,16:43:42
2, 34, 1, 3.200,30, 3, 3.288,31, 2, 3.262,32, 4, 3.791,16:44:54
3, 31, 3, 3.367,32, 4, 3.654,34, 1, 3.212,30, 2, 3.336,16:45:49
4, 32, 2, 3.308,34, 3, 3.333,30, 1, 3.225,31, 4, 3.535,16:46:46
