heat#, car1#, pos, time, car2#, pos, time, car3#, pos, time, car4#, pos, time, timestamp
1, 1, 3, 3.601,2, 4, 4.538,3, 2, 3.343,4, 1, 3.237,21:06:12
2, 5, 3, 9.999,6, 3, 9.999,7, 1, 4.149,8, 2, 4.657,21:06:13
3, 9, 3, 3.219,10, 2, 3.195,11, 4, 3.230,12, 1, 3.193,21:06:14
4, 13, 4, 3.415,14, 3, 3.359,15, 1, 3.165,16, 2, 3.311,21:06:15
5, 17, 1, 3.231,18, 2, 3.257,19, 3, 3.407,20, 4, 3.414,21:06:16
6, 21, 3, 3.673,22, 4, 3.691,23, 2, 3.439,24, 1, 3.245,21:06:17
7, 25, 1, 3.285,26, 4, 9.999,27, 2, 3.418,28, 3, 3.478,21:06:18
8, 29, 4, 4.592,30, 3, 3.524,31, 1, 3.160,32, 2, 3.268,21:06:19
9, 33, 1, 3.156,34, 4, 3.536,35, 2, 3.358,36, 3, 3.483,21:06:20
10, 37, 3, 3.724,38, 1, 3.369,39, 4, 3.883,40, 2, 3.415,21:06:21
11, 6, 4, 9.999,1, 3, 3.566,16, 1, 3.267,11, 1, 3.267,21:06:22
12, 26, 4, 9.999,21, 3, 3.522,36, 2, 3.429,31, 1, 3.270,21:06:23
13, 2, 4, 9.999,7, 3, 4.371,12, 1, 3.174,17, 2, 3.190,21:06:24
14, 22, 4, 4.155,27, 3, 3.728,32, 1, 3.278,37, 2, 3.703,21:06:25
15, 3, 3, 3.386,8, 4, 4.606,13, 2, 3.376,18, 1, 3.314,21:06:26
16, 23, 4, 3.498,28, 3, 3.468,33, 1, 3.177,38, 2, 3.386,21:06:27
17, 4, 2, 3.232,9, 1, 3.221,14, 4, 3.429,19, 3, 3.357,21:06:28
18, 24, 1, 3.288,29, 3, 3.762,34, 2, 3.575,39, 4, 3.868,21:06:29
19, 10, 2, 3.223,5, 4, 9.999,20, 3, 3.395,15, 1, 3.144,21:06:30
20, 30, 4, 3.547,25, 1, 3.308,40, 3, 3.532,35, 2, 3.381,21:06:31
21, 27, 3, 4.026,37, 2, 3.830,2, 4, 5.003,34, 1, 3.527,21:06:32
22, 12, 3, 3.219,31, 1, 3.178,9, 2, 3.195,1, 4, 3.556,21:06:33
23, 18, 1, 3.247,3, 4, 3.386,24, 2, 3.260,25, 3, 3.283,21:06:34
24, 20, 1, 3.359,40, 3, 3.413,22, 4, 3.687,14, 2, 3.409,21:06:35
25, 16, 1, 3.196,13, 3, 3.398,21, 4, 3.522,10, 2, 3.228,21:06:36
26, 28, 2, 3.485,15, 1, 3.139,5, 4, 9.999,29, 3, 3.714,21:06:37
27, 19, 3, 3.415,17, 1, 3.240,38, 2, 3.404,23, 4, 3.446,21:06:38
28, 36, 1, 3.485,39, 2, 3.677,8, 4, 4.291,7, 3, 4.272,21:06:39
29, 35, 2, 3.406,33, 1, 3.179,6, 4, 9.999,30, 3, 3.483,21:06:40
30, 11, 2, 3.269,4, 1, 3.233,26, 4, 9.999,2, 3, 4.556,21:06:41
31, 32, 1, 3.304,36, 3, 3.517,37, 4, 3.935,22, 2, 3.490,21:06:42
32, 15, 1, 3.143,19, 2, 3.423,28, 3, 3.502,26, 4, 9.999,21:06:43
33, 8, 4, 4.483,23, 1, 3.434,1, 3, 3.581,21, 2, 3.493,21:06:44
34, 40, 4, 3.502,32, 3, 3.286,4, 2, 3.242,33, 1, 3.165,21:06:45
35, 31, 1, 3.201,20, 3, 3.332,30, 4, 3.457,3, 2, 3.330,21:06:46
36, 14, 4, 3.371,11, 2, 3.273,17, 1, 3.179,9, 3, 3.314,21:06:47
37, 7, 3, 4.163,12, 1, 3.200,18, 2, 3.250,6, 4, 9.999,21:06:48
38, 38, 3, 3.376,16, 2, 3.343,25, 1, 3.281,5, 4, 9.999,21:06:49
39, 34, 3, 3.547,24, 1, 3.270,29, 4, 3.861,13, 2, 3.369,21:06:50
40, 39, 4, 3.839,35, 2, 3.368,10, 1, 3.238,27, 3, 3.515,21:06:51
